city_id,quarter,literacy_rate,smartphone_penetration,internet_penetration
C001,2019-Q1,89.16,75.76,56.53
C001,2019-Q2,88.76,76.45,55.97
C001,2019-Q3,88.83,75.32,56.52
C001,2019-Q4,89.25,75.83,56.94
C001,2020-Q1,89.13,75.03,56.45
C001,2020-Q2,89.06,76.56,56.44
C001,2020-Q3,89.1,74.44,55.7
C001,2020-Q4,89.17,76.92,55.74
C001,2021-Q1,88.99,75.08,55.0
C001,2021-Q2,88.94,73.69,58.15
C001,2021-Q3,89.14,75.25,55.16
C001,2021-Q4,88.9,74.44,55.71
C001,2022-Q1,89.18,75.96,55.68
C001,2022-Q2,88.76,74.47,57.29
C001,2022-Q3,89.31,74.67,56.11
C001,2022-Q4,89.19,73.23,57.65
C001,2023-Q1,89.15,74.67,55.73
C001,2023-Q2,89.3,72.7,56.68
C001,2023-Q3,89.43,73.54,55.56
C001,2023-Q4,89.3,75.88,58.55
C001,2024-Q1,88.73,75.91,55.21
C001,2024-Q2,88.84,75.55,56.71
C001,2024-Q3,88.98,74.15,57.03
C001,2024-Q4,89.11,75.07,56.81
C002,2019-Q1,70.7,48.49,48.58
C002,2019-Q2,70.45,47.33,48.64
C002,2019-Q3,70.64,49.99,48.81
C002,2019-Q4,70.45,49.37,48.62
C002,2020-Q1,70.48,48.27,49.73
C002,2020-Q2,70.32,48.52,50.98
C002,2020-Q3,70.42,48.7,48.21
C002,2020-Q4,70.33,46.45,47.4
C002,2021-Q1,70.4,48.24,48.68
C002,2021-Q2,70.81,47.81,51.35
C002,2021-Q3,70.41,47.49,47.97
C002,2021-Q4,71.13,48.21,50.41
C002,2022-Q1,70.7,50.29,50.45
C002,2022-Q2,70.64,49.13,48.22
C002,2022-Q3,70.43,47.92,49.34
C002,2022-Q4,70.74,49.06,50.4
C002,2023-Q1,70.48,49.89,48.39
C002,2023-Q2,70.62,49.41,48.57
C002,2023-Q3,71.11,48.55,48.19
C002,2023-Q4,70.58,47.84,47.76
C002,2024-Q1,70.83,49.19,48.12
C002,2024-Q2,70.46,48.88,47.55
C002,2024-Q3,70.59,49.39,48.8
C002,2024-Q4,70.95,49.13,48.0
C003,2019-Q1,82.57,71.39,66.77
C003,2019-Q2,83.06,69.8,64.98
C003,2019-Q3,82.84,71.66,66.87
C003,2019-Q4,82.59,70.54,67.37
C003,2020-Q1,82.83,72.42,64.55
C003,2020-Q2,82.89,69.65,66.91
C003,2020-Q3,82.82,72.08,67.77
C003,2020-Q4,82.39,70.54,65.33
C003,2021-Q1,82.55,69.69,68.21
C003,2021-Q2,82.65,69.86,66.96
C003,2021-Q3,82.69,70.02,65.83
C003,2021-Q4,82.82,70.76,66.48
C003,2022-Q1,82.74,70.86,67.1
C003,2022-Q2,82.43,69.77,66.62
C003,2022-Q3,82.78,70.32,67.08
C003,2022-Q4,82.82,72.48,65.62
C003,2023-Q1,82.81,72.07,66.71
C003,2023-Q2,82.92,70.78,65.13
C003,2023-Q3,82.87,70.38,66.43
C003,2023-Q4,82.79,70.46,65.64
